Libffi;3.3;https://sourceware.org/pub/libffi/libffi-3.3.tar.gz;6313289e32f1d38a9df4770b014a2ca7
Libpipeline;1.5.3;http://download.savannah.gnu.org/releases/libpipeline/libpipeline-1.5.3.tar.gz;dad443d0911cf9f0f1bd90a334bc9004
Libtool;2.4.6;http://ftp.gnu.org/gnu/libtool/libtool-2.4.6.tar.xz;1bfb9b923f2c1339b4d2ce1807064aa5
Linux;5.10.17;https://www.kernel.org/pub/linux/kernel/v5.x/linux-5.10.17.tar.xz;4908707ed841923d8d1814130d5c380f;
M4;1.4.18;http://ftp.gnu.org/gnu/m4/m4-1.4.18.tar.xz;730bb15d96fffe47e148d1e09235af82
Make;4.3;http://ftp.gnu.org/gnu/make/make-4.3.tar.gz;fc7a67ea86ace13195b0bce683fd4469
Man-DB;2.9.4;http://download.savannah.gnu.org/releases/man-db/man-db-2.9.4.tar.xz;6e233a555f7b9ae91ce7cd0faa322bce
Man-pages;5.10;https://www.kernel.org/pub/linux/docs/man-pages/man-pages-5.10.tar.xz;4ae3f74a1beddd919936e1058642644c
Meson;0.57.1;https://github.com/mesonbuild/meson/releases/download/0.57.1/meson-0.57.1.tar.gz;fbd744560351491892478a36a1586815
MPC;1.2.1;https://ftp.gnu.org/gnu/mpc/mpc-1.2.1.tar.gz;9f16c976c25bb0f76b50be749cd7a3a8
MPFR;4.1.0;http://www.mpfr.org/mpfr-4.1.0/mpfr-4.1.0.tar.xz;bdd3d5efba9c17da8d83a35ec552baef
Ncurses;6.2;http://ftp.gnu.org/gnu/ncurses/ncurses-6.2.tar.gz;e812da327b1c2214ac1aed440ea3ae8d
Ninja;1.10.2;https://github.com/ninja-build/ninja/archive/v1.10.2/ninja-1.10.2.tar.gz;639f75bc2e3b19ab893eaf2c810d4eb4
OpenSSL;1.1.1j;https://www.openssl.org/source/openssl-1.1.1j.tar.gz;cccaa064ed860a2b4d1303811bf5c682
Patch;2.7.6;http://ftp.gnu.org/gnu/patch/patch-2.7.6.tar.xz;78ad9937e4caadcba1526ef1853730d5
Perl;5.32.1;https://www.cpan.org/src/5.0/perl-5.32.1.tar.xz;7f104064b906ad8c7329ca5e409a32d7
Pkg-config;0.29.2;https://pkg-config.freedesktop.org/releases/pkg-config-0.29.2.tar.gz;f6e931e319531b736fadc017f470e68a
Procps;3.3.17;https://sourceforge.net/projects/procps-ng/files/Production/procps-ng-3.3.17.tar.xz;d60613e88c2f442ebd462b5a75313d56
Psmisc;23.4;https://sourceforge.net/projects/psmisc/files/psmisc/psmisc-23.4.tar.xz;8114cd4489b95308efe2509c3a406bbf
Python;3.9.2;https://www.python.org/ftp/python/3.9.2/Python-3.9.2.tar.xz;f0dc9000312abeb16de4eccce9a870ab
Python-Documentation;3.9.2;https://www.python.org/ftp/python/doc/3.9.2/python-3.9.2-docs-html.tar.bz2;719cd64a4c5768b646b716df20229400
Readline;8.1;http://ftp.gnu.org/gnu/readline/readline-8.1.tar.gz;e9557dd5b1409f5d7b37ef717c64518e
Sed;4.8;http://ftp.gnu.org/gnu/sed/sed-4.8.tar.xz;6d906edfdb3202304059233f51f9a71d
Shadow;4.8.1;https://github.com/shadow-maint/shadow/releases/download/4.8.1/shadow-4.8.1.tar.xz;4b05eff8a427cf50e615bda324b5bc45
Systemd;247;https://github.com/systemd/systemd/archive/v247/systemd-247.tar.gz;b0d6e603b814908acc69db29bbfb023c
Systemd-Man-Pages;247;http://anduin.linuxfromscratch.org/LFS/systemd-man-pages-247.tar.xz;438c98be200e1c3b308e58a3399d4465;
Tar;1.34;http://ftp.gnu.org/gnu/tar/tar-1.34.tar.xz;9a08d29a9ac4727130b5708347c0f5cf
Tcl;8.6.11;https://downloads.sourceforge.net/tcl/tcl8.6.11-src.tar.gz;8a4c004f48984a03a7747e9ba06e4da4
Tcl-Documentation;8.6.11;https://downloads.sourceforge.net/tcl/tcl8.6.11-html.tar.gz;e358a9140c3a171e42f18c8a7f6a36ea
Texinfo;6.7;http://ftp.gnu.org/gnu/texinfo/texinfo-6.7.tar.xz;d4c5d8cc84438c5993ec5163a59522a6
Time-Zone-Data;2021a;https://www.iana.org/time-zones/repository/releases/tzdata2021a.tar.gz;20eae7d1da671c6eac56339c8df85bbd
Util-linux;2.36.2;https://www.kernel.org/pub/linux/utils/util-linux/v2.36/util-linux-2.36.2.tar.xz;f78419af679ac9678190ad961eb3cf27
Vim;8.2.2433;http://anduin.linuxfromscratch.org/LFS/vim-8.2.2433.tar.gz;a26555c8919cf40938d2428d834bf913;
XML::Parser;2.46;https://cpan.metacpan.org/authors/id/T/TO/TODDR/XML-Parser-2.46.tar.gz;80bb18a8e6240fcf7ec2f7b57601c170
Xz-Utils;5.2.5;https://tukaani.org/xz/xz-5.2.5.tar.xz;aa1621ec7013a19abab52a8aff04fe5b
Zlib;1.2.11;https://zlib.net/zlib-1.2.11.tar.xz;85adef240c5f370b308da8c938951a68
Zstd;1.4.8;https://github.com/facebook/zstd/releases/download/v1.4.8/zstd-1.4.8.tar.gz;e873db7cfa5ef05832e6d55a5a572840
